lipid_class,rt_win_max,rt_win_min,rt_alt_win_min
DGCC,20.4,7,1.7
DGDG,19,5,2
DGTS_DGTA,20.6,7,1.7
DNPPE,,14.7,
FFA,,,
MGDG,21.1,7.1,2.1
PC,20.7,6.7,3.4
PE,20.7,6.7,3.4
PG,20.7,6.7,3.4
19prime_hex_fuco,10.8,10.2,
Allox,,10.8,
Beta_carotenes,,10.8,
Chl_a,,15.7,
Chl_b,,,
Chl_c2,,5.6,
Chlide_a,15.8,5.6,
Croco,,15.3,
Dd_Ddc,,8.5,
Dt,,,
Echin,,15.3,
Fuco,,7.7,
Lut,,13.4,
Neox_Nos,,8,
Peri,,,
Pheophytin_a,,16.2,
Pras,,8,
Viol,,8,
Zeax,,13.4,
SQDG,18.5,6.5,
TAG,22.7,15,
